group_type,group_name,num_images,dino_layer,segformer_stage,cka_mean,ssm_mean
split,train,1600,20,stage1,0.5768062715046107,0.5550929287727923
split,train,1600,20,stage2,0.5489342017285526,0.6530870239622891
split,train,1600,20,stage3,0.5867656091600657,0.6970222811214626
split,train,1600,20,stage4,0.6423923607170582,0.601877446565777
split,train,1600,21,stage1,0.5779784045554698,0.5533186166640371
split,train,1600,21,stage2,0.5379048081301153,0.6471530637331306
split,train,1600,21,stage3,0.5825354119390249,0.7060518330894411
split,train,1600,21,stage4,0.6643387961015105,0.6318090308457613
split,train,1600,22,stage1,0.5680695772729814,0.5610785391926766
split,train,1600,22,stage2,0.5393520707637072,0.6492877796292305
split,train,1600,22,stage3,0.594075522236526,0.7144461184553802
split,train,1600,22,stage4,0.6579957912862301,0.6413876487500966
split,train,1600,23,stage1,0.5720282927714289,0.5626946608535945
split,train,1600,23,stage2,0.5397456333786249,0.6476018221303821
split,train,1600,23,stage3,0.5983233493380249,0.7278481594100594
split,train,1600,23,stage4,0.664955488499254,0.6557292974181473
split,train,1600,24,stage1,0.5648546807281672,0.5050291791930794
split,train,1600,24,stage2,0.5332501422055066,0.5183262018486857
split,train,1600,24,stage3,0.6341028227284551,0.646380283460021
split,train,1600,24,stage4,0.7318933657743036,0.7045473592355848
split,val,406,1,stage1,0.69759098568867,0.6744024236801223
split,val,406,1,stage2,0.5465002076819613,0.5602559076594602
split,val,406,1,stage3,0.3748290889662475,0.3856926321285992
split,val,406,1,stage4,0.5146838654878692,0.42970196302209435
split,val,406,2,stage1,0.7227063137909462,0.6668199117254154
split,val,406,2,stage2,0.5785913067351421,0.5539375143538555
split,val,406,2,stage3,0.38415331933005104,0.38577219436468163
split,val,406,2,stage4,0.5113802310171092,0.43656182684132766
split,val,406,3,stage1,0.740471353084583,0.7083544559373057
split,val,406,3,stage2,0.5971240600928884,0.600703150254165
split,val,406,3,stage3,0.39458444531034365,0.42437294430186595
split,val,406,3,stage4,0.522181006139282,0.46780783914745294
split,val,406,4,stage1,0.7550148969800602,0.7520810375953543
split,val,406,4,stage2,0.6122549521952427,0.6545419202649535
split,val,406,4,stage3,0.4026046645611965,0.4587339364322536
split,val,406,4,stage4,0.5282040655319327,0.48594436186636464
split,val,406,5,stage1,0.7910609785559142,0.7982666768463962
split,val,406,5,stage2,0.6590679508124666,0.7185501501771617
split,val,406,5,stage3,0.4255685725162182,0.5118856220483192
split,val,406,5,stage4,0.5379980623978993,0.5181449893127962
split,val,406,6,stage1,0.806084297267087,0.8245751527436261
split,val,406,6,stage2,0.6747799530405129,0.745564899861519
split,val,406,6,stage3,0.43056106427913815,0.5099568842667077
split,val,406,6,stage4,0.5378100046970574,0.5008545125940164
split,val,406,7,stage1,0.7560485290923142,0.7874324986793725
split,val,406,7,stage2,0.6665286533351015,0.7414571095276349
split,val,406,7,stage3,0.42813558153477793,0.5310523867093283
split,val,406,7,stage4,0.5162834275899262,0.5053923928128381
split,val,406,8,stage1,0.7327105332477927,0.7532730867416401
split,val,406,8,stage2,0.6589203524618901,0.7225553080659782
split,val,406,8,stage3,0.4885832841319991,0.5862972540368
split,val,406,8,stage4,0.6199717640583151,0.6234611459259917
split,val,406,9,stage1,0.6916833874480478,0.7062721891796647
split,val,406,9,stage2,0.6434592469572433,0.6900596443215027
split,val,406,9,stage3,0.5145837889222676,0.6146693308952407
split,val,406,9,stage4,0.64419563004536,0.6554365635211832
split,val,406,10,stage1,0.714016406113291,0.7397292595485161
split,val,406,10,stage2,0.6707340514865415,0.7448468910062255
split,val,406,10,stage3,0.53400167499857,0.6668386529819131
split,val,406,10,stage4,0.6502460247190128,0.6766565709278501
split,val,406,11,stage1,0.6904066704176917,0.7187000509406546
split,val,406,11,stage2,0.6632556397045775,0.7418901761764376
split,val,406,11,stage3,0.5441032256839311,0.6911073136212204
split,val,406,11,stage4,0.6407702725215498,0.6743510967404972
split,val,406,12,stage1,0.6935238871227931,0.7280402566705432
split,val,406,12,stage2,0.6729424359469578,0.7824284193551012
split,val,406,12,stage3,0.5591836580501989,0.7382307821893926
split,val,406,12,stage4,0.6471198563798896,0.6861820361884357
